,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
6038,FabHotel Royale Basant Residency - Gandhinagar,1785,Deluxe Room,"Gandhi nagar, Bangalore",Banglore,61,6.1,2.6,Not included,No Free cancellation
6039,Citrus Classic Bengaluru,7240,Superior Double or Twin Room,"Bellandur, Bangalore",Banglore,10,7.9,9.6,Not included,No Free cancellation
6040,FabHotel RMS Comforts - Nr Yeshwantpur Railway Station,1614,[Sanitised]Deluxe Room,Bangalore,Banglore,280,8.3,7.9,Not included,No Free cancellation
6041,Springs Hotels and Spa,4000,Senate Room,"Sudhama Nagar, Bangalore",Banglore,135,6.8,3.0,Not included,No Free cancellation
6042,Treebo Savoury Sea Shell Residency,1671,Standard Double Room,Bangalore,Banglore,139,6.2,5.0,Breakfast included,No Free cancellation
6043,YN Hotels,3129,Deluxe Room,Bangalore,Banglore,119,7.3,11.0,Breakfast included,Free cancellation
6044,Greenpark Bengaluru,11700,Silk Room,Bangalore,Banglore,264,8.7,8.8,Breakfast included,No Free cancellation
6045,FabHotel Suvee Boutique Banashankari,3915,Superior Double Room,Bangalore,Banglore,36,8.4,7.7,Not included,No Free cancellation
6046,FabHotel Shreyas Shack - Nr Manyata Tech park,1353,Deluxe Room,"HBR Layout, Bangalore",Banglore,14,6.6,7.1,Not included,No Free cancellation
6047,Temple Tree Hotel,5832,Executive Room,Bangalore,Banglore,224,8.6,3.3,Not included,No Free cancellation
6048,FabHotel The Kings Suites,1256,Deluxe Room,Bangalore,Banglore,34,6.8,3.3,Not included,No Free cancellation
6049,Coraltree Hotel Bangalore,2800,Superior King Room,Bangalore,Banglore,161,5.7,4.7,Not included,Free cancellation
6050,Treebo Sahara Suites,3044,Standard Double Room,Bangalore,Banglore,129,8.1,5.8,Breakfast included,No Free cancellation
6051,FabHotel Willow Tree,1846,Deluxe Room,Bangalore,Banglore,3,7.7,10.0,Not included,No Free cancellation
6052,FabHotel RLV Green Palace - Nr Kengeri Satellite Town,1218,Deluxe Room,Bangalore,Banglore,110,7.4,15.0,Not included,No Free cancellation
6053,Zion - A Luxurious Hotel,4603,Executive Triple Room,"Gandhi nagar, Bangalore",Banglore,308,6.7,2.7,Not included,No Free cancellation
6054,Hotel Rose Mansion Manyata Tech Park,1450,Deluxe Suite,Bangalore,Banglore,86,7.1,9.1,Breakfast included,No Free cancellation
